lat,lng,alt,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_grav,y_grav,z_grav,lum,activity
40.16635,-8.453739,172.33157,1529358299878,2.4995465,2.4037786,9.825804,-1.5330973,-1.747092,-1.2850336,-1.5330973,-1.747092,-1.2850336,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299893,2.4995465,2.4037786,9.825804,-1.5330973,-1.747092,-1.2850336,2.0963,1.8948,9.390699,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299893,2.4995465,2.4037786,9.825804,-1.5831358,-1.4756061,-1.2690638,-1.5831358,-1.4756061,-1.2690638,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299894,2.5474305,2.0494366,9.576807,-1.5831358,-1.4756061,-1.2690638,-1.5831358,-1.4756061,-1.2690638,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299895,2.5474305,2.0494366,9.576807,-1.6289158,-1.167922,-1.2509648,-1.6289158,-1.167922,-1.2509648,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299895,2.5091233,1.8195933,9.433155,-1.6289158,-1.167922,-1.2509648,-1.6289158,-1.167922,-1.2509648,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299896,2.5091233,1.8195933,9.433155,-1.6289158,-1.167922,-1.2509648,2.2694,1.6502999,9.3965,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299897,2.5091233,1.8195933,9.433155,-1.6640493,-0.8378802,-1.2254131,-1.6640493,-0.8378802,-1.2254131,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299897,1.9632454,1.8291701,9.308656,-1.6640493,-0.8378802,-1.2254131,-1.6640493,-0.8378802,-1.2254131,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299898,1.9632454,1.8291701,9.308656,-1.676825,-0.49080405,-1.1881503,-1.676825,-0.49080405,-1.1881503,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299899,1.9632454,1.8291701,9.308656,-1.676825,-0.49080405,-1.1881503,-1.676825,-0.49080405,-1.1881503,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299899,2.231396,1.4939818,9.710882,-1.676825,-0.49080405,-1.1881503,-1.676825,-0.49080405,-1.1881503,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299909,2.231396,1.4939818,9.710882,-1.676825,-0.49080405,-1.1881503,2.2909,1.5149,9.4141,0.0,WALKING
